,Solution,Reasoning,Confidence
0,A,"Since the hardworking farmer is the son of the lazy farmer, but the lazy farmer is not the father, the only possibility is that the lazy farmer is the mother.",0.95
1,C,Romeo and Juliet could not be human since the only pieces of furniture were a bookshelf and bed in a rural area. The train likely caused the fish tank to fall and break.  ,0.8
2,C,"The day before your birthday, you are one year younger than you will be the next day on your birthday. This happens annually.",1.0
3,B,"If the assistant captain left, the next in command would be the captain.",0.9  
4,C,5% of 100 random names picked would be 5 people with unlisted numbers.,1.0
5,A,"For one guard to see the other smiling, they must have been facing towards each other, not back-to-back.  ",0.95
6,A,"The man bet his dog could jump higher than a house, which cannot physically jump, ensuring his dog would win.",0.9
7,B,100 divided by 10 is 10. You can only divide 100 by 10 one time.  ,1.0
8,A,"10% of 200 is 20. So with a list of 200 names already captured, 20 more can be found wandering the city.  ",1.0
9,D,Christmas Day and New Year's Day cannot fall on the same day. They are always in different weeks/years.  ,1.0
10,B,"Roosters are male chickens and do not lay eggs, only hens (female chickens) lay eggs. So despite feeding his roosters daily, no eggs were produced since roosters cannot physically lay eggs.",1.0
11,A,"If it was a football-specific playground, then a football player would likely be the one drawing a lot of attention and seen as a great player there. The other sports people may not have even been allowed or present in that area.",0.8
12,C,"If the man was in a coffin at his own funeral, he would remain dry while the others running got wet in the rain. This explains why only he stayed dry.  ",0.9
13,A,"Being excited rather than afraid of a bear indicates she was likely at a zoo, where bears would be in enclosures and not pose a threat.",0.95
14,B,"If the houses were right next to each other, he could step/jump from one house to the other rather than a long jumping feat.",0.9
15,B,"If the accountant is the attorney's sister, it explains how she could testify being his brother while the attorney truthfully states not having a brother.  ",0.95
16,A,"If the accountant is the attorney's sister, it explains how she could claim being his brother while the attorney truthfully does not have an actual brother.",0.95
17,C,"If the shopping group consists of 1 daughter, 1 mother (her daughter), and 1 grandmother (the mother's mother), that accounts for the 2 mothers and 2 daughters stated. ",0.9  
18,C,"If all 9 children are boys, then the half that are boys would be 9/2 = 4.5 rounded to 5 boys.",1.0
19,B,"If told to take the 3 medicines every half hour, and there are 3 medicines, that equates to taking them every half hour over a 2 hour period (1.5 hours + extra half hour) before running out.",1.0
20,A,"The man bet his dog could jump higher than a house, but a house cannot physically jump, ensuring the dog would win.  ",0.95
21,C,"If the person was on stilts, their feet would be raised up and avoid getting wet from puddles. ",0.9
22,B,"Roosters are male chickens and do not lay eggs, so the rooster could not have laid an egg on the roof.",1.0
23,A,"If James was at the zoo, the bears would be securely in enclosures and only observe him before moving on.",0.95
24,C,"With 3 pills taken every half hour, that covers a 2 hour period before running out. ",1.0
25,A,100 divided by 10 is 10. You can only subtract 10 from 100 one time.,1.0 
26,A,Triplets can have very similar appearances and genetics while still having their own unique identity. This would allow the girls to truthfully answer yes to seeming like twins but actually be triplets.,0.85
27,C,It is unlikely two humans were in such an empty house near the train tracks. More reasonable that fish tank broke during train rumbling.   ,0.9
28,A,"If the assistant coach cannot attend, the head coach would lead the team.",0.95
29,C,"This would explain how the officer deduced ""John"" refered to the mail man specifically.  ",0.7
30,B,Older adults generally need more nutrients due to natural physiological changes that come with aging.,0.9
31,C,"If Jack was a fish, being knocked from the ocean water onto land could lead to his death within minutes.  ",0.85
32,C,"If the fat dog is the mother of the slim dog, it explains how one is parent to the other but not the father specifically.",0.95  
33,C,"Roosters do not lay eggs, so the rooster could not have laid an egg on the barn roof.   ",1.0
34,C,"If the dry man was being honored, the others rushing to shelter suggests he was a statue/photograph.   ",0.8
35,C,This family combination equals 2 mothers and 2 daughters to split the money.,0.95
36,B,5% of 100 is 5 people expected to have unlisted numbers.,1.0
37,A,A dead man in a coffin would stay dry while others running got wet.,0.95
38,C,"If brothers with common parents, it would be them and their 2 parents total splitting the $40.",0.85
39,C,The color difference provides a logical reason for differing food consumption.  ,0.9
40,B,Being excited rather than scared of the bear suggests she was likely at the zoo where bears would be safely in enclosures.,0.95
